App,Category,Rating,Reviews,Size,Installs,Type,Last Updated
Dude Perfect 2,GAME,4.5,401425,70M,"10,000,000+",Free,12-Apr-17
Shadow Fight 2,GAME,4.6,10979062,88M,"100,000,000+",Free,2-Jul-18
Alto's Adventure,GAME,4.6,515657,63M,"10,000,000+",Free,5-Jun-18
DEER HUNTER 2018,GAME,4.3,955656,82M,"10,000,000+",Free,26-Jun-18
DRAGON BALL LEGENDS,GAME,4.6,337913,48M,"5,000,000+",Free,3-Aug-18
DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468591,Varies with device,"50,000,000+",Free,23-Jul-18
Cover Fire: offline shooting games for free,GAME,4.7,725897,31M,"10,000,000+",Free,3-Aug-18
Anger of stick 5 : zombie,GAME,4.5,549039,23M,"50,000,000+",Free,3-Aug-18
CATS: Crash Arena Turbo Stars,GAME,4.7,1559650,Varies with device,"50,000,000+",Free,9-Jul-18
Soul Knight,GAME,4.7,292164,59M,"10,000,000+",Free,1-Aug-18
Major Mayhem,GAME,4.6,520962,39M,"10,000,000+",Free,28-Jun-17
DINO HUNTER: DEADLY SHORES,GAME,4.4,1381820,54M,"10,000,000+",Free,14-Mar-17
Strawberry Shortcake BerryRush,GAME,4.3,525517,48M,"10,000,000+",Free,15-Oct-17
Extreme Match,GAME,4.5,696,Varies with device,"100,000+",Free,5-Jul-18
Power Rangers Dino Charge,GAME,4.3,194969,30M,"10,000,000+",Free,29-Jan-18
Zombie Hunter: Post Apocalypse Survival Games,GAME,4.4,327599,66M,"10,000,000+",Free,28-Jul-17
Agar.io,GAME,4.2,3816799,32M,"100,000,000+",Free,23-Jul-18
Zombie Hunter King,GAME,4.3,10538,50M,"1,000,000+",Free,1-Aug-18
Garena Free Fire,GAME,4.5,5476569,53M,"100,000,000+",Free,3-Aug-18
Battlelands Royale,GAME,4.4,105620,61M,"1,000,000+",Free,16-Jul-18
Once Upon a Tower,GAME,4.7,37139,49M,"1,000,000+",Free,24-Jan-18
TEKKEN™,GAME,4.2,147791,38M,"5,000,000+",Free,26-Jul-18
diep.io,GAME,4.1,347883,20M,"10,000,000+",Free,16-Mar-18
Arrow.io,GAME,4.5,343263,Varies with device,"10,000,000+",Free,6-Aug-18
BEYBLADE BURST app,GAME,4.5,216849,Varies with device,"10,000,000+",Free,16-Jul-18
Dragon Hills,GAME,4.5,354373,66M,"10,000,000+",Free,12-Oct-17
Bus Rush: Subway Edition,GAME,4.1,753043,57M,"100,000,000+",Free,1-Aug-18
DC Super Hero Girls™,GAME,4.3,43055,95M,"5,000,000+",Free,29-Jun-18
Tiny Archers,GAME,4.5,80678,Varies with device,"5,000,000+",Free,25-May-18
Metal Soldiers 2,GAME,4.4,153381,Varies with device,"10,000,000+",Free,18-Jun-18
Runner 3d like,GAME,4.5,559,32M,"100,000+",Free,3-Aug-18
War Robots,GAME,4.6,3073251,33M,"50,000,000+",Free,25-Jul-18
Dinosaur Simulator: Dino World,GAME,4,26649,66M,"5,000,000+",Free,5-Aug-18
GUNSHIP BATTLE: Helicopter 3D,GAME,4.3,2151039,75M,"50,000,000+",Free,1-Aug-18
Quiz: Logo game,GAME,4.5,306764,29M,"10,000,000+",Free,3-Aug-18
Candy Crush Saga,GAME,4.4,22430188,74M,"500,000,000+",Free,5-Jul-18
Plants vs. Zombies FREE,GAME,4.4,4067651,69M,"100,000,000+",Free,6-Jul-18
Block Puzzle,GAME,4.6,59907,7.8M,"5,000,000+",Free,6-Mar-18
Helix Jump,GAME,4.2,1500622,33M,"100,000,000+",Free,9-Apr-18
8 Ball Pool,GAME,4.5,14201604,52M,"100,000,000+",Free,31-Jul-18
Jewels Legend - Match 3 Puzzle,GAME,4.6,280098,50M,"10,000,000+",Free,20-Jul-18
Bubble Shooter,GAME,4.5,148990,46M,"10,000,000+",Free,17-Jul-18
Solitaire,GAME,4.7,154264,12M,"10,000,000+",Free,8-Jun-18
Bubble Shooter Genies,GAME,4.5,26985,41M,"5,000,000+",Free,4-Jun-18
Blossom Blast Saga,GAME,4.5,1125438,63M,"10,000,000+",Free,5-Jul-18
Traffic Racer,GAME,4.5,5387781,53M,"100,000,000+",Free,27-Feb-18
Hill Climb Racing,GAME,4.4,8923847,63M,"100,000,000+",Free,2-Jul-18
Earn to Die 2,GAME,4.6,1327269,99M,"50,000,000+",Free,12-Apr-17
Bubble Shooter 2,GAME,4.3,23043,Varies with device,"5,000,000+",Free,25-Jul-18
Candy Bomb,GAME,4.4,42145,20M,"10,000,000+",Free,4-Jul-18
Flow Free,GAME,4.3,1295625,11M,"100,000,000+",Free,11-Apr-18
Zombie Catchers,GAME,4.7,990796,75M,"10,000,000+",Free,24-May-18
Gems or jewels ?,GAME,4.7,171448,13M,"10,000,000+",Free,3-Aug-18
Angry Birds Rio,GAME,4.4,2610680,46M,"100,000,000+",Free,3-Jul-18
Candy Crush Jelly Saga,GAME,4.3,1300619,78M,"50,000,000+",Free,20-Jul-18
Cut the Rope FULL FREE,GAME,4.4,2123793,49M,"100,000,000+",Free,5-Jul-18
Jewels Star: OZ adventure,GAME,4.5,21892,14M,"1,000,000+",Free,29-Dec-17
Hungry Shark Evolution,GAME,4.5,6074627,100M,"100,000,000+",Free,25-Jul-18
Power Pop Bubbles,GAME,4.4,104303,Varies with device,"10,000,000+",Free,2-Aug-18
Angry Birds Classic,GAME,4.4,5566908,97M,"100,000,000+",Free,24-May-18
Best Fiends - Free Puzzle Game,GAME,4.6,1480182,Varies with device,"10,000,000+",Free,2-Aug-18
Hill Climb Racing 2,GAME,4.6,2750645,Varies with device,"100,000,000+",Free,2-Aug-18
Jewels classic Prince,GAME,4.4,47644,15M,"5,000,000+",Free,15-Jun-18
Fruit Block - Puzzle Legend,GAME,4.6,125647,33M,"10,000,000+",Free,23-Jul-18
Bubble Shooter Space,GAME,4.2,4355,Varies with device,"1,000,000+",Free,17-Jul-17
Swamp Attack,GAME,4.4,2119235,70M,"50,000,000+",Free,29-Jun-18
1LINE – One Line with One Touch,GAME,4.6,214878,10M,"10,000,000+",Free,3-Aug-18
Stick War: Legacy,GAME,4.6,811040,77M,"10,000,000+",Free,10-May-18
Bowmasters,GAME,4.7,1536349,Varies with device,"50,000,000+",Free,23-Jul-18
Magic Tiles 3,GAME,4.5,592504,Varies with device,"50,000,000+",Free,3-Aug-18
Block Puzzle Classic Legend !,GAME,4.2,17044,4.9M,"5,000,000+",Free,13-Apr-18
Marble Woka Woka 2018 - Bubble Shooter Match 3,GAME,4.6,155186,Varies with device,"10,000,000+",Free,3-Aug-18
Pixel Art: Color by Number Game,GAME,4.7,1125566,25M,"10,000,000+",Free,17-Jul-18
Score! Hero,GAME,4.6,5419676,96M,"100,000,000+",Free,13-Jun-18
Super Jabber Jump 3,GAME,4.3,34494,23M,"5,000,000+",Free,11-Jul-18
Rush,GAME,4.6,260651,51M,"10,000,000+",Free,14-Feb-18
Jetpack Joyride,GAME,4.4,4638163,96M,"100,000,000+",Free,19-Jul-18
Zombie Tsunami,GAME,4.4,4921409,Varies with device,"100,000,000+",Free,15-Jun-18
DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468638,Varies with device,"50,000,000+",Free,23-Jul-18
Word Search,GAME,4.2,344585,Varies with device,"50,000,000+",Free,2-Jul-18
Farm Heroes Saga,GAME,4.4,7614407,70M,"100,000,000+",Free,26-Jul-18
Racing in Car 2,GAME,4.3,234110,38M,"50,000,000+",Free,22-Nov-16
Dog Run - Pet Dog Simulator,GAME,4.7,48615,24M,"10,000,000+",Free,22-May-18
Rope Hero Return of a Legend,GAME,4.3,9951,96M,"1,000,000+",Free,26-Aug-16
Draw a Stickman: EPIC 2 Free,GAME,4.3,213340,24M,"10,000,000+",Free,14-Jun-18
Agar.io,GAME,4.2,3815614,32M,"100,000,000+",Free,23-Jul-18
Angry Birds Classic,GAME,4.4,5565856,97M,"100,000,000+",Free,24-May-18
UNO ™ & Friends,GAME,4.1,1728557,Varies with device,"50,000,000+",Free,20-Sep-17
4 in a Row,GAME,3.8,4257,Varies with device,"500,000+",Free,13-May-18
Bubble Shooter,GAME,4.5,43576,50M,"5,000,000+",Free,13-Sep-17
Subway Surfers,GAME,4.5,27711703,76M,"1,000,000,000+",Free,12-Jul-18
Super Mario Run,GAME,3.7,1221896,70M,"100,000,000+",Free,12-Jul-18
STARDOM: THE A-LIST,GAME,4.5,152658,29M,"1,000,000+",Free,12-Sep-14
Glow Hockey,GAME,4.1,1703479,Varies with device,"100,000,000+",Free,22-Jul-18
Pokémon GO,GAME,4.1,10421284,85M,"100,000,000+",Free,23-Jul-18
Asphalt 8: Airborne,GAME,4.5,8389714,92M,"100,000,000+",Free,4-Jul-18
PAC-MAN,GAME,4.2,685450,37M,"100,000,000+",Free,15-May-18
Lep's World 2 🍀🍀,GAME,4.3,798522,57M,"100,000,000+",Free,7-Jun-18
Law of Creation: A Playable Manga,GAME,4.5,13118,47M,"500,000+",Free,25-Jun-18
Real City Car Driver,GAME,3.7,413609,22M,"10,000,000+",Free,1-Aug-18
Rolling Sky,GAME,4.5,1117212,50M,"50,000,000+",Free,3-Aug-18
4 in a row,GAME,4.3,47698,4.1M,"5,000,000+",Free,12-Apr-16
Four In A Line Free,GAME,4.3,133195,11M,"5,000,000+",Free,11-Jun-18
Alto's Adventure,GAME,4.6,515240,63M,"10,000,000+",Free,5-Jun-18
Draw A Stickman,GAME,3.4,29265,17M,"1,000,000+",Free,19-May-17
Zombie Tsunami,GAME,4.4,4918776,Varies with device,"100,000,000+",Free,15-Jun-18
Four In A Line,GAME,3.8,22191,3.0M,"1,000,000+",Free,4-May-15
Cardi B Piano Game,GAME,3.1,50,7.4M,"10,000+",Free,15-Nov-17
MORTAL KOMBAT X,GAME,4.4,3039889,18M,"10,000,000+",Free,27-Jun-18
► MultiCraft ― Free Miner! 👍,GAME,4.3,1305050,Varies with device,"50,000,000+",Free,29-Jul-18
Pixel Gun 3D: Survival shooter & Battle Royale,GAME,4.5,4487182,55M,"50,000,000+",Free,4-Jul-18
B-52 Spirits of Glory Deluxe,GAME,4.3,12,29M,100+,Paid,2-Sep-17
Hungry Shark Evolution,GAME,4.5,6071542,100M,"100,000,000+",Free,25-Jul-18
Perfect Piano,GAME,4.2,828489,Varies with device,"50,000,000+",Free,4-Aug-18
B-Grade Renegade,GAME,3.9,24,64M,"1,000+",Paid,17-Oct-17
CURSUM B,GAME,,30,26M,500+,Paid,20-Jun-17
Critical Ops,GAME,4.4,1397944,50M,"10,000,000+",Free,31-Jul-18
Hill Climb Racing,GAME,4.4,8921451,63M,"100,000,000+",Free,2-Jul-18
Hitman Sniper,GAME,4.6,408292,29M,"10,000,000+",Paid,12-Jul-18
FRONTLINE COMMANDO: D-DAY,GAME,4.5,1736105,14M,"10,000,000+",Free,16-May-14
Fruit Ninja®,GAME,4.3,5091448,41M,"100,000,000+",Free,12-Jul-18
Crossy Road,GAME,4.5,4229977,60M,"100,000,000+",Free,1-Aug-18
Temple Run 2,GAME,4.3,8116142,62M,"500,000,000+",Free,5-Jul-18
Beach Buggy Blitz,GAME,4.2,640974,47M,"50,000,000+",Free,5-Jun-18
Vector,GAME,4.4,3058687,89M,"100,000,000+",Free,18-Jul-16
Dr. Driving,GAME,4.5,4972230,9.9M,"100,000,000+",Free,2-Mar-18
D Day World War II Commando Survival Shooting,GAME,4.2,951,64M,"100,000+",Free,25-May-18
Geometry Dash Meltdown,GAME,4.6,1591129,48M,"50,000,000+",Free,22-Dec-17
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7657490,Varies with device,"100,000,000+",Free,2-Aug-18
Bike Race Free - Top Motorcycle Racing Games,GAME,4.5,2586261,Varies with device,"100,000,000+",Free,31-Jul-18
Smash Hit,GAME,4.5,4147718,79M,"100,000,000+",Free,26-Nov-15
Temple Run,GAME,4.3,4000433,42M,"100,000,000+",Free,2-Aug-18
Super Car F. Mod for MCPE,GAME,3.6,214,4.9M,"50,000+",Free,19-Jul-18
Geometry Dash World,GAME,4.6,759838,63M,"10,000,000+",Free,22-Dec-17
PUBG MOBILE,GAME,4.4,3697174,36M,"50,000,000+",Free,24-Jul-18
Gangstar Vegas - mafia game,GAME,4.5,4830407,32M,"50,000,000+",Free,25-May-18
Granny,GAME,4.5,1128805,59M,"50,000,000+",Free,29-May-18
Rolling G Sky,GAME,3.6,2065,25M,"100,000+",Free,25-Jan-17
G-Switch 2,GAME,4.4,12683,19M,"1,000,000+",Free,5-Feb-18
G-Switch 3,GAME,4.6,3656,39M,"100,000+",Free,15-Mar-18
G-Switch,GAME,3.8,4116,8.8M,"100,000+",Free,1-Sep-15
Radial-G : Infinity,GAME,3.6,517,47M,"50,000+",Free,7-Dec-15
Helix Jump,GAME,4.2,1485806,33M,"100,000,000+",Free,9-Apr-18
Geometry Dash Lite,GAME,4.5,6181640,58M,"100,000,000+",Free,22-Dec-17
Car Driving Simulator Drift,GAME,4.4,19816,57M,"1,000,000+",Free,3-Nov-17
The World Ends With You,GAME,4.6,4108,13M,"10,000+",Paid,14-Dec-15
RC City Police Heavy Traffic Racer,GAME,4.4,3250,27M,"1,000,000+",Free,19-Jul-18
D+H Reaction Wall,GAME,,0,Varies with device,1+,Paid,24-Jul-16
Motorbike Driving Simulator 3D,GAME,3.9,178723,65M,"10,000,000+",Free,25-Dec-16
Helix,GAME,3.9,2454,37M,"500,000+",Free,10-Sep-17
slither.io,GAME,4.4,5231553,Varies with device,"100,000,000+",Free,14-Nov-17
Solitaire!,GAME,4.7,403911,23M,"10,000,000+",Free,24-Jun-18
iGun Pro -The Original Gun App,GAME,4.2,249308,55M,"10,000,000+",Free,7-Sep-17
Sonic Dash,GAME,4.5,3777822,75M,"100,000,000+",Free,26-Jul-18
NinJump,GAME,4.3,421000,36M,"10,000,000+",Free,13-Jun-18
Zombie Catchers,GAME,4.7,989158,75M,"10,000,000+",Free,24-May-18
Fidget Spinner,GAME,4.2,307398,9.9M,"10,000,000+",Free,30-Nov-17
Jetpack Joyride,GAME,4.4,4637439,96M,"100,000,000+",Free,19-Jul-18
Anger of stick 5 : zombie,GAME,4.5,547644,23M,"50,000,000+",Free,3-Aug-18
J Balvin Piano Tiles,GAME,,6,30M,500+,Free,15-May-18
Guess the song of J Balvin,GAME,,28,8.9M,"1,000+",Free,24-Dec-17
J-Stars Victory VS Guide,GAME,4.1,609,13M,"10,000+",Free,14-May-14
KIM KARDASHIAN: HOLLYWOOD,GAME,4.3,1017408,34M,"10,000,000+",Free,16-Jul-18
Magic Tiles - TWICE Edition (K-Pop),GAME,4.4,2351,62M,"100,000+",Free,25-Jul-18
Magic Tiles - Blackpink Edition (K-Pop),GAME,4.6,4304,71M,"100,000+",Free,20-Jun-18
Korean Dungeon: K-Word 1000,GAME,4.7,703,40M,"10,000+",Free,17-Nov-17
Talking Tom Gold Run,GAME,4.6,2694969,78M,"100,000,000+",Free,31-Jul-18
Lep's World 🍀,GAME,4.3,696019,Varies with device,"50,000,000+",Free,26-May-18
Last Day on Earth: Survival,GAME,4.5,2308916,87M,"10,000,000+",Free,1-Aug-18
Ant Smasher by Best Cool & Fun Games,GAME,4.2,1185148,29M,"100,000,000+",Free,1-Aug-18
Cheating Tom 3 - Genius School,GAME,4.3,90415,84M,"10,000,000+",Free,24-Jul-18
M3-X5-X6-M-İ3-İ8 RACİNG 2018,GAME,4.4,596,44M,"100,000+",Free,12-Feb-17
M-acceleration 3D Car Racing,GAME,3.9,1202,34M,"100,000+",Free,28-Jun-18
Super Hero M Craft Run,GAME,3.7,303,38M,"100,000+",Free,12-Jul-17
Don't Hug Me I'm So Scared,GAME,3.5,901,63M,"50,000+",Free,8-Jun-18
Rope'n'Fly 4,GAME,4.1,234606,59M,"10,000,000+",Free,29-Jan-18
Cops N Robbers - FPS Mini Game,GAME,4.2,156862,64M,"5,000,000+",Free,31-Jul-18
Cops N Robbers 2,GAME,4.1,63680,46M,"1,000,000+",Free,2-Jun-18
Hide N Seek : Mini Game,GAME,3.8,4719,54M,"500,000+",Free,8-Jul-18
Rope'n'Fly 3 - Dusk Till Dawn,GAME,4,166033,23M,"10,000,000+",Free,31-Jan-18
Drag'n'Boom,GAME,4.8,133180,54M,"1,000,000+",Free,12-Jan-18
Traps n' Gemstones,GAME,4.5,413,9.1M,"1,000+",Paid,17-May-17
Cops N Robbers,GAME,4,37789,58M,"1,000,000+",Free,6-Jun-18
Ghosts'n Goblins MOBILE,GAME,3.8,466,28M,"10,000+",Paid,28-Mar-17
Mopar Drag N Brag,GAME,4.2,30630,17M,"1,000,000+",Free,25-May-15
Draw N Guess Multiplayer,GAME,3.9,29505,69M,"1,000,000+",Free,4-Apr-18
Lock 'n' Roll Pro - Ad Free,GAME,4.6,169,13M,"1,000+",Paid,1-Jul-15
Rock N' Cash Casino Slots -Free Vegas Slot Games,GAME,4.7,6187,33M,"100,000+",Free,27-Jul-18
Rock n Roll Music Quiz Game,GAME,3.7,80,7.6M,"10,000+",Free,6-Jun-18
Jump'N'Shoot Attack,GAME,4.1,155,32M,"1,000+",Paid,26-May-18
Ghouls'n Ghosts MOBILE,GAME,3.9,168,49M,"5,000+",Paid,18-May-17
Oddworld: New 'n' Tasty,GAME,4.6,1475,34M,"10,000+",Paid,2-Jan-18
Obbligo o Verità? PRO,GAME,,4,2.9M,100+,Paid,26-Apr-18
Drink-O-Tron The Drinking Game,GAME,4.1,140,45M,"50,000+",Free,31-May-17
The Maze Runner,GAME,4,428268,22M,"10,000,000+",Free,14-Sep-15
The Q - Live Trivia Game Network,GAME,2.7,1486,14M,"100,000+",Free,3-Aug-18
Q*bert: Rebooted,GAME,4.3,13788,55M,"1,000,000+",Free,1-Apr-17
Gun Shoot War Q,GAME,4.2,26893,20M,"1,000,000+",Free,1-Mar-17
DJMAX TECHNIKA Q - Music Game,GAME,4.3,21107,95M,"100,000+",Free,30-Jul-18
R-TYPE II,GAME,4.3,5682,37M,"50,000+",Paid,2-Mar-17
R-TYPE,GAME,4.5,7687,23M,"100,000+",Paid,27-Feb-17
Stupid Zombies,GAME,4.5,464900,33M,"10,000,000+",Free,27-Jun-18
Crime Wars S. Andreas,GAME,4.3,5785,93M,"500,000+",Free,12-Apr-17
Dino T-Rex,GAME,4,69115,2.4M,"10,000,000+",Free,13-Jun-18
Don't Starve: Pocket Edition,GAME,4.4,17988,7.9M,"100,000+",Paid,25-Jul-18
Don't Starve: Shipwrecked,GAME,4.1,1468,4.9M,"10,000+",Paid,10-Jul-18
Ludo - Don't get angry,GAME,4.2,131,23M,"1,000+",Paid,24-Feb-16
U-48 Submarine Commander Free,GAME,3.5,4575,3.8M,"500,000+",Free,7-Oct-17
Identity V,GAME,4.2,109263,38M,"1,000,000+",Free,10-Jul-18
V for Voodoo,GAME,4.2,16876,59M,"1,000,000+",Free,28-Jun-18
Sin City Crime Simulator V - Gangster,GAME,4.2,2113,67M,"100,000+",Free,23-Apr-18
The Gang Sniper V. Pocket Edition.,GAME,3.9,6121,61M,"500,000+",Free,20-Jun-18
San Andreas: Gang Crime V,GAME,4.1,2399,42M,"100,000+",Free,28-Jan-18
Mental Hospital V,GAME,4.2,2460,25M,"50,000+",Paid,19-Nov-16
Grand Stickman Cover V,GAME,4,1744,37M,"100,000+",Free,19-May-18
Words With Friends Classic,GAME,4.3,1704112,Varies with device,"50,000,000+",Free,11-Jul-18
Draw Something Classic,GAME,4.2,1092106,43M,"50,000,000+",Free,28-Jul-18
Extreme X Ray Robot Stunts,GAME,4.3,10806,49M,"5,000,000+",Free,9-May-17
Casino X - Free Online Slots,GAME,4.5,30515,Varies with device,"1,000,000+",Free,22-May-18
X-WOLF,GAME,4.2,4878,27M,"100,000+",Free,2-Feb-18
Hero Fighter X,GAME,4.5,24210,45M,"500,000+",Free,13-Nov-15
Slendrina X,GAME,4.4,12736,56M,"1,000,000+",Free,18-Dec-17
Robocar X Ray,GAME,4.5,3432,99M,"1,000,000+",Free,23-Jan-17
Space X: Sky Wars of Air Force,GAME,4.5,10748,47M,"1,000,000+",Free,4-Aug-18
Real Gangster Crime,GAME,4.3,285814,84M,"10,000,000+",Free,26-Jun-18
Gangster Town,GAME,4.1,74842,99M,"5,000,000+",Free,22-Dec-16
Rope Hero 3,GAME,4.4,45871,99M,"5,000,000+",Free,8-May-17
Experiment Z - Zombie,GAME,4,229329,88M,"10,000,000+",Free,4-Dec-17
Z Champions,GAME,4.7,96028,59M,"1,000,000+",Free,28-May-18
WithstandZ - Zombie Survival!,GAME,4.3,121612,59M,"1,000,000+",Free,28-Dec-17
Zombie War Z : Hero Survival Rules,GAME,3.9,1987,62M,"100,000+",Free,13-Dec-17
DRAGON BALL Z DOKKAN BATTLE,GAME,4.1,650114,80M,"10,000,000+",Free,3-Jul-18
Cube Z (Pixel Zombies),GAME,4.2,41444,56M,"1,000,000+",Free,31-Jul-16
GALAK-Z: Variant Mobile,GAME,3.9,145,79M,"10,000+",Free,30-Jul-18
Reload: The Z-Team,GAME,4.3,1655,91M,"100,000+",Free,28-Feb-18
Rage Z: Multiplayer Zombie FPS Online Shooter,GAME,4.1,11258,44M,"500,000+",Free,8-Dec-16
Pixel Z Gunner 3D - Battle Survival Fps,GAME,4.2,11408,96M,"1,000,000+",Free,6-Jul-18
Saiyan Z: Super SSJ Ultimate Combat,GAME,4.4,306,61M,"10,000+",Free,18-Apr-18
Mini DAYZ: Zombie Survival,GAME,4.1,94661,Varies with device,"1,000,000+",Free,8-Jun-18
Zombie Avengers:(Dreamsky)Stickman War Z,GAME,4.3,13604,96M,"1,000,000+",Paid,26-Jun-18
Route Z,GAME,3.9,24697,16M,"500,000+",Free,10-Jul-15
Dragon X Adventure: Warrior Z,GAME,4.3,8537,29M,"100,000+",Free,3-Nov-15
Ultimate Fighter Z,GAME,4.3,180,24M,"5,000+",Free,16-Jul-18
Angry Birds Rio,GAME,4.4,2610328,46M,"100,000,000+",Free,3-Jul-18
Angry Birds Friends,GAME,4.2,829753,48M,"50,000,000+",Free,19-Jun-18
Angry Birds Go!,GAME,4.2,3846378,82M,"50,000,000+",Free,30-May-18
Angry Birds Star Wars,GAME,4.3,1218055,45M,"100,000,000+",Free,25-May-18
Assassin's Creed Identity,GAME,3.7,42529,92M,"500,000+",Paid,23-Nov-16
ONScripter Plus (Ad Free),GAME,4.5,100,17M,"1,000+",Paid,7-Apr-16
Solitaire: Decked Out Ad Free,GAME,4.9,37302,35M,"500,000+",Free,8-May-17
AE Jewels 2: Island Adventures,GAME,4.2,652,30M,"10,000+",Free,24-Feb-16
AE Bingo: Offline Bingo Games,GAME,4.4,61746,Varies with device,"500,000+",Free,30-Sep-16
AE Jewels,GAME,4.2,960,18M,"50,000+",Free,20-Aug-15
AE Spider Solitaire,GAME,4.5,17263,Varies with device,"500,000+",Free,7-Jun-17
AE Coin Mania : Arcade Fun,GAME,4.3,30002,29M,"1,000,000+",Free,8-Feb-18
Mupen64+AE FREE (N64 Emulator),GAME,4,41759,12M,"1,000,000+",Free,19-Jan-14
Mupen64Plus AE (N64 Emulator),GAME,4.2,4569,12M,"100,000+",Paid,19-Jan-14
AE Lucky Fishing,GAME,4.3,18277,17M,"1,000,000+",Free,14-Mar-16
AE Video Poker,GAME,4,721,18M,"50,000+",Free,31-Dec-15
AE Solitaire,GAME,4.3,1776,26M,"50,000+",Free,4-Jan-18
AE Blackjack,GAME,4,1417,17M,"100,000+",Free,27-Nov-15
AE Gun Ball: arcade ball games,GAME,3.7,8581,12M,"1,000,000+",Free,13-Dec-13
AE 3D MOTOR :Racing Games Free,GAME,4.2,74902,Varies with device,"5,000,000+",Free,26-Aug-16
AE GTO Racing,GAME,3.9,6988,35M,"100,000+",Free,24-Sep-15
AE 3D Moto 3,GAME,3.9,2588,26M,"100,000+",Free,31-Dec-14
AE FreeCell,GAME,4.2,358,15M,"10,000+",Free,6-Nov-14
AE City Jump,GAME,4.5,804,27M,"10,000+",Free,18-Jul-18
AE Angry Chef,GAME,4.1,533,39M,"10,000+",Free,24-Jan-14
AE Master Moto,GAME,4,17876,37M,"1,000,000+",Free,10-Dec-15
AE Fishing Hunter,GAME,4.4,14,6.6M,"1,000+",Free,15-Mar-16
Gun Strike Shoot,GAME,4.1,94761,17M,"10,000,000+",Free,21-Feb-17
AG Drive 3D,GAME,3.8,164,22M,"10,000+",Free,20-Mar-15
VR AG Racing for Cardboard,GAME,3.4,13,27M,"1,000+",Free,29-Sep-16
AH-1 Viper Cobra Ops - helicopter flight simulator,GAME,3.8,1088,86M,"100,000+",Free,16-Feb-18
Ah! Coins,GAME,3.4,256,9.1M,"50,000+",Free,8-Dec-16
AJ Jump: Animal Jam Kangaroos!,GAME,4.4,2975,42M,"50,000+",Paid,7-Mar-16
Baby Game Animal Jam Free,GAME,2.8,9,26M,500+,Free,24-Mar-17
Blackjack aj Poker,GAME,3.8,8,4.2M,"1,000+",Free,19-Oct-16
Puppy Shooting an AK-47: Platformer Zombie Game,GAME,4.8,21,89M,"1,000+",Free,30-Mar-18
Crisis Action: 2018 NO.1 FPS,GAME,4.3,807226,34M,"10,000,000+",Free,11-Jul-18
AK-47 3D,GAME,3.7,91,24M,"10,000+",Free,25-Dec-16
AK-47 Assult Rifle: Gun Shooting Simulator Game,GAME,,1,5.8M,500+,Free,17-May-18
Counter Terrorist Attack,GAME,3.9,145931,43M,"10,000,000+",Free,31-May-18
RULES OF SURVIVAL,GAME,4.2,1343106,56M,"10,000,000+",Free,1-Aug-18
